image_name,centers_of_detected_circles,sensitivity,num_centers,x_displacement,y_displacement
Img_093_20200902_040100.jpg,"[[ 817.80628272  397.08376963   79.37253933]
 [ 822.13917526  592.54639175   79.37253933]
 [1021.63902439  591.37560976   79.37253933]
 [1017.09146341  393.95731707   79.37253933]]",0.97,4,-0.9355714304349316,-1.0283117469039862
Img_093_20200902_050100.jpg,"[[ 821.49545455  591.02272727   79.37253933]
 [1019.25396825  590.44444444   79.37253933]
 [1016.74566474  393.11560694   79.37253933]
 [ 817.11282051  395.35384615   79.37253933]]",0.97,4,-0.9886299574700974,-0.9901101641270884
Img_093_20200902_060100.jpg,"[[ 821.66666667  591.42857143   79.37253933]
 [1016.55865922  392.2122905    79.37253933]
 [1019.49431818  589.26704545   79.37253933]
 [ 817.27118644  395.31073446   79.37253933]]",0.97,4,-1.0498518314041423,-1.2345642482215826
Img_093_20200902_070100.jpg,"[[1019.30201342  589.06040268   79.37253933]
 [ 816.89677419  393.68387097   79.37253933]
 [ 821.77018634  590.57763975   79.37253933]
 [1016.47096774  391.83870968   79.37253933]]",0.97,4,-0.8723511519459777,-1.3383386831533421
Img_093_20200902_080100.jpg,"[[ 817.48170732  393.30487805   79.37253933]
 [1019.14189189  588.76351351   79.37253933]
 [1016.32885906  391.2147651    79.37253933]
 [ 821.86538462  590.37179487   79.37253933]]",0.97,4,-0.983167252677962,-1.185481213107943
Img_093_20200902_090100.jpg,"[[ 817.09876543  393.04320988   79.37253933]
 [ 821.74534161  589.59006211   79.37253933]
 [1016.13333333  391.00666667   79.37253933]
 [1018.94078947  587.75657895   79.37253933]]",0.97,4,-1.0116450641873147,-1.2560680215480495
Img_093_20200902_100100.jpg,"[[ 816.59602649  392.79470199   79.37253933]
 [1018.44370861  587.47019868   79.37253933]
 [1015.36363636  390.51048951   79.37253933]
 [ 821.06944444  589.16666667   79.37253933]]",0.97,4,-1.087519678998076,-1.299785409612518
Img_093_20200902_110100.jpg,"[[ 816.39189189  392.50675676   79.37253933]
 [1018.03472222  587.16666667   79.37253933]
 [1015.09722222  390.09722222   79.37253933]
 [ 820.75352113  588.95774648   79.37253933]]",0.97,4,-1.124852431316528,-1.3367430298836886
Img_093_20200902_120100.jpg,"[[ 816.          391.74522293   79.37253933]
 [1017.94444444  586.89583333   79.37253933]
 [1014.95774648  389.97887324   79.37253933]
 [ 821.          588.75524476   79.37253933]]",0.97,4,-1.1365746255304057,-1.378722880477845
Img_093_20200902_130100.jpg,"[[1017.24503311  586.04635762   79.37253933]
 [ 815.97159091  392.07954545   79.37253933]
 [1014.35761589  389.7218543    79.37253933]
 [ 820.57142857  587.85         79.37253933]]",0.97,4,-1.1914532550308543,-1.4306778290906799
Img_093_20200902_140100.jpg,"[[ 815.7         391.3875       79.37253933]
 [ 820.40136054  587.0952381    79.37253933]
 [1017.4379562   585.72992701   79.37253933]
 [1014.03424658  388.96575342   79.37253933]]",0.97,4,-1.2814394046506337,-1.696973626411502
Img_093_20200902_150100.jpg,"[[ 819.76086957  586.63043478   79.37253933]
 [ 815.15        391.03125      79.37253933]
 [1016.49242424  584.56818182   79.37253933]
 [1013.9047619   388.79591837   79.37253933]]",0.97,4,-1.351490001253369,-1.7618624753396048
Img_093_20200902_160100.jpg,"[[ 814.63095238  390.03571429   79.37253933]
 [1012.82781457  388.03311258   79.37253933]
 [ 818.80769231  586.07051282   79.37253933]
 [1015.77333333  584.08         79.37253933]]",0.97,4,-1.2604508419154676,-1.8561372956477307
Img_093_20200902_170100.jpg,"[[ 814.13291139  389.62658228   79.37253933]
 [ 818.95833333  584.57638889   79.37253933]
 [1012.78947368  387.52631579   79.37253933]
 [1015.21678322  582.95804196   79.37253933]]",0.97,4,-1.412249335077,-1.7705590610960957
Img_093_20200902_180100.jpg,"[[1014.47133758  582.04458599   79.37253933]
 [1011.77272727  386.56493506   79.37253933]
 [ 813.57831325  388.95180723   79.37253933]
 [ 818.26708075  583.31055901   79.37253933]]",0.97,4,-1.383707903147748,-1.8916230308166426
Img_093_20200902_190100.jpg,"[[1013.86979167  580.90625      79.37253933]
 [ 812.64824121  387.93467337   79.37253933]
 [1010.91208791  385.5989011    79.37253933]
 [ 817.93063584  582.66473988   79.37253933]]",0.97,4,-1.591010191942976,-2.0034751194961764
Img_093_20200902_200100.jpg,"[[1014.03191489  580.73404255   79.37253933]
 [ 817.6961326   582.20441989   79.37253933]
 [ 814.01104972  388.85082873   79.37253933]
 [1010.90285714  385.42857143   79.37253933]]",0.97,4,-1.4303959743466628,-2.005510308424716
Img_093_20200902_210100.jpg,"[[ 816.85057471  581.46551724   79.37253933]
 [ 812.93167702  387.34782609   79.37253933]
 [1012.82022472  579.62921348   79.37253933]
 [1010.01886792  385.31446541   79.37253933]]",0.97,4,-1.7458933418902536,-2.2895171711478337
Img_093_20200902_220100.jpg,"[[ 817.46107784  581.51497006   79.37253933]
 [1009.85526316  385.03947368   79.37253933]
 [1013.01694915  579.83050847   79.37253933]
 [ 812.98773006  387.15337423   79.37253933]]",0.97,4,-1.724267756760982,-2.296828252894203
